date,new_cases,new_deaths,new_tests,new_vaccinations,hosp_patients,icu_patients,stringency_index,reproduction_rate,total_cases,total_tests,total_vaccinations,people_vaccinated,total_boosters
2021-08-01,677676.0,2168.0,20909736.132322304,22698745.913320348,1625.6967274120916,270.3269774999202,43.34121847048679,1.2389787755102042,5998836.0,234757120.0,85277830.0,46837616.0,0.0
2021-08-08,662241.0,2653.0,20210297.231975026,20297466.567261975,1690.725298840663,294.78003872440996,42.006606225588826,1.2176522448979592,6192737.0,240261175.0,86611176.0,47059640.0,0.0
2021-08-15,690030.0,3051.0,21214252.294512235,18592734.52072624,1756.3089723100509,314.1351407652263,42.621136837833724,1.2189804081632651,6395894.0,245711377.0,88037280.0,47333704.0,0.0
2021-08-22,722542.0,3903.0,21165940.0205491,17163949.25195919,1842.1538702692344,334.4126917856344,41.81325928681331,1.200262857142857,6628576.0,251080955.0,89501496.0,47690740.0,0.0
2021-08-29,731170.0,4165.0,21581674.61801454,16291278.046464685,1928.0232580243364,354.87391627543036,41.22093275620107,1.1705820408163266,6873387.0,257007210.0,90752300.0,48028370.0,0.0
2021-09-05,723713.0,4793.0,22609551.05833712,15090558.262398751,2006.8779519018874,369.04534484685894,40.44868785824189,1.1333816326530612,7131603.0,264215488.0,91725200.0,48270110.0,0.0
2021-09-12,696218.0,5377.0,24252274.7986597,12912111.723570913,2081.4910131263773,377.73922239787936,40.469993980690866,1.1070469387755102,7377774.0,272897585.0,92487370.0,48439270.0,0.0
2021-09-19,655271.0,5873.0,23623624.713372525,11587900.194266884,2165.6967274120916,375.5106509693079,40.77268785824189,1.0736269387755102,7581063.0,280200333.0,93055384.0,48584616.0,0.0
2021-09-26,682118.0,6160.0,23178843.081743885,10840900.907087397,2225.172237616173,365.85350811216506,40.76517765416026,1.044378775510204,7823123.0,287437208.0,93507380.0,48740810.0,0.0
2021-10-03,731252.0,7092.0,22318976.41840793,11126141.007942097,2316.1089723100504,358.0902428060426,39.61562663375209,1.0668004081632654,8058409.0,294454429.0,95254990.0,48956860.0,1306093.0
2021-10-10,803934.0,8436.0,21643845.055071972,12143371.366112031,2390.9212172080097,353.76779382645077,39.040769490894945,1.0984685714285713,8313137.0,301260201.0,96820110.0,49186920.0,2444009.0
2021-10-17,925806.0,9698.0,22327582.191736016,11395877.872811379,2508.423258024336,355.2290183162467,39.077912348037806,1.147912244897959,8618240.0,308128779.0,98877980.0,49422750.0,4077823.0
2021-10-24,1159557.0,12634.0,22921709.948229283,12792186.907125104,2663.211013126377,367.67799790808346,39.125218470486786,1.2209020408163265,8947661.0,314804013.0,101473680.0,49715228.0,6197008.0
2021-10-31,1275215.0,14653.0,22054360.146148548,14079250.296830986,2841.0008090447445,388.858270016927,39.38158581742556,1.222269387755102,9232804.0,320948134.0,103814904.0,49987324.0,8115229.0
2021-11-07,1379729.0,16862.0,23603681.43323793,14297859.331144711,3009.072237616173,422.3446645747501,39.40876949089495,1.2105457142857143,9484281.0,327290933.0,106417950.0,50262736.0,10302544.0
2021-11-14,1635617.0,18155.0,25970968.26015415,16750716.674281966,3118.5174271205465,450.7418463045849,39.47391234803781,1.1686755102040816,9750379.0,333770425.0,109471170.0,50582504.0,12860751.0
2021-11-21,1942995.0,19324.0,29218909.770403706,18436337.218399614,3203.629380473316,479.4039454299493,40.55795316436434,1.1298697959183674,10045737.0,340503731.0,112277090.0,50777470.0,15331311.0
2021-11-28,2152887.0,19126.0,30534043.69731993,22689875.01251726,3252.300517499555,519.9555489284916,41.43913683783372,1.0925061224489796,10346779.0,347457122.0,115179250.0,50941330.0,17896864.0
2021-12-05,2261030.0,18647.0,32022696.54501537,26532103.294730145,3317.5048906773977,555.7963652550221,42.36334091946638,1.053970612244898,10682578.0,355202894.0,118256320.0,51118264.0,20580644.0
2021-12-12,2203444.0,17974.0,33122855.113273583,29566134.155835565,3396.2518294529077,574.1024877040018,42.805830715384744,1.0307285714285714,11046679.0,363723146.0,121616100.0,51279170.0,23561729.0
2021-12-19,2465041.0,16569.0,36708993.80530037,34905598.00472878,3410.9742784324994,577.6861611733895,42.83330010313985,1.0543314285714285,11653043.0,374543025.0,127528150.0,51498030.0,28978244.0
2021-12-26,3191685.0,14643.0,38308173.092565246,23870968.366525814,3349.56509475903,568.7994264795119,43.26717765416026,1.1500612244897959,12574779.0,385364199.0,131427740.0,51663356.0,32493319.0
2022-01-02,5403883.0,14160.0,42305590.4014342,19230924.682774194,3553.4997886365813,564.2892223978793,43.68811642967046,1.3425579591836734,13866850.0,395822832.0,133477150.0,51801496.0,34222161.0
2022-01-09,7274496.0,13501.0,48222125.13887458,25369495.84684866,3971.198768228418,562.6453448468588,44.25832051130311,1.4203632653061224,15187182.0,408858992.0,135357500.0,51974604.0,35664164.0
2022-01-16,7731577.0,15067.0,48066984.01847183,25403386.67793486,4300.178360065152,555.518814234614,43.331300103139846,1.33286693877551,15910747.0,419002272.0,136554300.0,52117864.0,36473316.0
2022-01-23,9420059.0,15713.0,47725369.336860806,20232389.605774075,4492.947747820254,534.6739162754303,42.168483776609236,1.2833440816326531,16640979.0,428559938.0,137372780.0,52236576.0,36941059.0
2022-01-30,10069335.0,16384.0,44878432.5362173,16665603.415878605,4725.4314212896425,515.249426479512,41.59660622558883,1.1901657142857143,17354538.0,437644768.0,138064670.0,52345160.0,37303021.0
2022-02-06,8687339.0,17941.0,39825909.33968051,13160727.986441376,4923.3742784324995,509.04126321420586,40.00999398069087,1.0694285714285714,17943078.0,446004747.0,138585200.0,52437296.0,37553416.0
2022-02-13,6707151.0,18131.0,31757704.428785846,10930391.845315835,4844.011013126377,497.78003872440996,38.48174908273169,0.9325036734693878,18363270.0,453184461.0,139059230.0,52514096.0,37786235.0
2022-02-20,5022188.0,17556.0,28538237.559233177,9083138.563497653,4477.545253489189,467.4507870237297,35.581789899058215,0.824690612244898,18679330.0,459062832.0,139482290.0,52573588.0,38022801.0
2022-02-27,3994053.0,14677.0,23958936.531455398,7828998.396830986,3976.5368840808196,429.2682885698027,32.476483776609236,0.7934085714285714,18930961.0,463859148.0,139840800.0,52628660.0,38211911.0
2022-03-06,3870378.0,12285.0,22096034.364788733,6692854.430164319,3475.596541883335,390.1041574628144,30.28962663375209,0.8362828571428571,19208202.0,468430580.0,140156940.0,52672970.0,38377152.0
2022-03-13,4542453.0,10396.0,22094492.597441792,6609643.963497653,3217.3880075605143,360.1625990212559,27.775259286813316,0.9095918367346939,19645690.0,473325713.0,140668560.0,52708424.0,38513136.0
2022-03-20,5045487.0,9878.0,23978879.407645874,6185055.63016432,3179.888618714067,342.91976370531137,24.84019806232352,0.9474620408163265,20226938.0,478598465.0,140956800.0,52747250.0,38648211.0
2022-03-27,5092858.0,9429.0,22815397.007645875,6547927.928409933,3206.5968474601104,332.0965153150462,24.20876949089495,0.9261640816326531,20833310.0,483784517.0,141763440.0,52783240.0,38761519.0
2022-04-03,4327748.0,8759.0,21376381.793360163,6483311.158192724,3254.9532515602123,325.2958722006576,22.602973572527603,0.8440644897959183,21311981.0,488249393.0,142569740.0,52826860.0,38866665.0
2022-04-10,3419254.0,8073.0,19587483.721931588,6537729.803890301,3212.1081306547076,310.38422325536516,21.027055205180663,0.7732061224489796,21611027.0,491617001.0,143529700.0,52925736.0,38974239.0
2022-04-17,2782757.0,7260.0,14859326.407645876,5980251.709111688,3097.2525926153157,295.6840174587609,20.51754500109903,0.7574628571428571,21820947.0,494150030.0,144320960.0,53035856.0,39069045.0
2022-04-24,2322346.0,6384.0,13375395.036217304,6157339.13893625,2992.213749825453,286.58081046167626,19.718728674568418,0.803369387755102,21967635.0,496483395.0,145345300.0,53152044.0,39173584.0
2022-05-01,1909803.0,5562.0,12505591.946421385,6262095.235427477,2789.1960770420537,272.1497180247015,18.69881030722148,0.8214473469387755,22061904.0,498540052.0,146229230.0,53242210.0,39300955.0
2022-05-08,1537571.0,4879.0,11377332.5314554,5901865.165252038,2580.145998549118,253.69257516755866,17.135096021507195,0.8242175510204082,22135364.0,500318222.0,146883680.0,53317460.0,39415043.0
2022-05-15,1414322.0,4246.0,11002863.198122066,5730808.761743267,2377.202849861071,238.7584643803866,16.846483776609237,0.8553208163265306,22195702.0,502057183.0,147509970.0,53382948.0,39535712.0
2022-05-22,1139092.0,3602.0,11236765.864788733,5527085.41337234,2192.4337536511584,227.0972398905907,15.908891939874541,0.8674636734693878,22247777.0,503270347.0,148014460.0,53436650.0,39642789.0
2022-05-29,852223.0,2880.0,10019034.864788732,5231716.499211938,2033.491188053491,215.3890766252846,15.678891939874541,0.9020755102040816,22290240.0,503270347.0,148435340.0,53472490.0,39724316.0
2022-06-05,916761.0,2517.0,9685923.864788732,5105803.451592891,1914.30066327215,206.98426612965775,15.45807561334393,0.9659604081632653,22334971.0,503270347.0,148687230.0,53505424.0,39782009.0
2022-06-12,1089102.0,2450.0,9600548.864788732,5075077.796830986,1882.6648032138407,201.9737705028356,15.280402143956174,1.06848,22409323.0,503270347.0,148981300.0,53539970.0,39850810.0
2022-06-19,1424569.0,2557.0,10143960.864788732,5031839.296830986,1926.5433746424123,201.8756655465674,15.045055205180663,1.1308493877551022,22505487.0,503270347.0,149223300.0,53568336.0,39907229.0
2022-06-26,2014391.0,2871.0,10229210.864788732,5255349.213497653,2084.3019752255027,207.90190461362278,14.998891939874541,1.184909387755102,22635758.0,503270347.0,149554060.0,53601172.0,39965236.0
2022-07-03,2672426.0,3470.0,10303219.864788732,5438491.963497653,2372.440750735707,219.20744397222336,14.908075613343929,1.1692216326530611,22795972.0,503270347.0,149868720.0,53629720.0,40023211.0
2022-07-10,3082280.0,4205.0,10303219.864788732,5587014.7357198745,2629.477776974774,228.49928070691723,14.91889193987454,1.1051795918367346,22991595.0,503270347.0,150111680.0,53656588.0,40078099.0
2022-07-17,2921827.0,5505.0,10303219.864788732,5583877.357942097,2854.328214292558,242.06633610050324,14.739300103139847,1.0679204081632652,23158024.0,503270347.0,150327800.0,53679210.0,40130299.0
2022-07-24,2400000.0,6289.0,10303219.864788732,5705406.213497653,2936.1642492779806,253.3679104445266,14.3895041847725,1.0265257142857143,23268370.0,503270347.0,150510860.0,53700196.0,40174494.0
2022-07-31,1851163.0,6280.0,10303219.864788732,5739059.546830986,2870.146406712383,257.5233623395703,14.336606225588827,0.953561224489796,23342984.0,503270347.0,150693810.0,53723890.0,40219929.0
2022-08-07,1400748.0,5489.0,10303219.864788732,5430960.046830986,2676.645415458739,249.50132152324377,13.980973572527601,0.9090591836734694,23399937.0,503270347.0,150845550.0,53742610.0,40256647.0
2022-08-14,1111353.0,4966.0,10303219.864788732,5234583.88016432,2492.7798177911004,238.36108828709214,13.958320511303112,0.8955587755102041,23445561.0,503270347.0,150956980.0,53757748.0,40288940.0
2022-08-21,927986.0,4164.0,10303219.864788732,4875550.213497653,2345.6127623975144,227.9963652550222,13.518320511303113,0.8986840816326531,23481010.0,503270347.0,151070140.0,53778336.0,40321218.0
2022-08-28,845088.0,3617.0,10303219.864788732,4994483.796830986,2178.2891472371643,215.79403289350617,13.219993980690866,0.9026636734693878,23510400.0,503270347.0,151172480.0,53794736.0,40351159.0
2022-09-04,751782.0,3162.0,10303219.864788732,4836895.463497653,2025.2459985491178,207.24184630458487,13.144320511303112,0.9213514285714286,23539613.0,503270347.0,151248820.0,53806964.0,40373987.0
2022-09-11,735414.0,2649.0,10303219.864788732,4723287.13016432,1909.0687390738992,199.21035942411842,13.09889193987454,0.9417616326530611,23568556.0,503270347.0,151248820.0,0.0,0.0
2022-09-18,879987.0,2547.0,10303219.864788732,5310550.13016432,1867.0273396569896,194.87333318505134,13.061749082731684,1.0097122448979592,23600368.0,503270347.0,151248820.0,0.0,0.0
2022-09-25,1041510.0,2666.0,10303219.864788732,5622167.796830986,1892.8591180826454,193.67012618796682,12.889463368445968,1.0249775510204082,23643075.0,503270347.0,151248820.0,0.0,0.0
2022-10-02,1447739.0,3275.0,10303219.864788732,5766034.796830986,2052.4850656045114,202.2954906194537,12.778687858241888,1.0388073469387755,23696830.0,503270347.0,151248820.0,0.0,0.0
2022-10-09,1740626.0,4274.0,10303219.864788732,5778457.463497653,2288.227922747368,220.0290183162467,12.501749082731683,0.9880751020408163,23764326.0,503270347.0,151248820.0,0.0,0.0
2022-10-16,1762385.0,4944.0,10303219.864788732,6124305.463497653,2454.515969394599,236.99869761653824,12.501749082731683,0.9108522448979592,23824768.0,503270347.0,151248820.0,0.0,0.0
2022-10-23,1508835.0,5158.0,10303219.864788732,6116649.796830986,2505.2045991322084,243.93805621712133,12.354565409262296,0.8558514285714286,23877698.0,503270347.0,151248820.0,0.0,0.0
2022-10-30,1089714.0,4571.0,10303219.864788732,6014642.096830986,2419.458826537456,239.35088420545952,12.264034797017397,0.8484053061224489,23915366.0,503270347.0,151248820.0,0.0,0.0
2022-11-06,799443.0,3722.0,10303219.864788732,5360707.330164319,2282.3521209980972,231.81210869525546,12.264034797017397,0.8379677551020408,23943697.0,503270347.0,151248820.0,0.0,0.0
2022-11-13,746885.0,3386.0,10303219.864788732,5528943.63016432,2172.134045196348,220.60102997805427,12.354647041915358,0.866862857142857,23967453.0,503270347.0,151248820.0,0.0,0.0
2022-11-20,822705.0,3291.0,10303219.864788732,5389298.563497652,2159.980692426669,214.4161903279085,12.210973572527601,0.9155951020408163,23989325.0,503270347.0,151248820.0,0.0,0.0
2022-11-27,894411.0,3283.0,10303219.864788732,5207267.530164319,2179.9736953421207,213.13047604219423,11.780238878650051,0.9570575510204081,24012236.0,503270347.0,151248820.0,0.0,0.0
2022-12-04,1013785.0,3575.0,10303219.864788732,5162552.352386542,2266.4153863042197,217.66167137747118,11.621626633752092,0.982153469387755,24038341.0,503270347.0,151248820.0,0.0,0.0
2022-12-11,1058312.0,4058.0,10303219.864788732,5200708.241275431,2409.11538630422,223.8710008235353,11.440402143956172,0.9710620408163265,24069389.0,503270347.0,151248820.0,0.0,0.0
2022-12-18,1031710.0,4758.0,10303219.864788732,5274207.796830986,2571.493228869818,233.19928070691725,11.417749082731683,0.9200930612244897,24110398.0,503270347.0,151248820.0,0.0,0.0
2022-12-25,900066.0,5483.0,10303219.864788732,4760213.580164319,2666.566552484978,241.4438871209114,11.417749082731683,0.8452681632653061,24159037.0,503270347.0,151248820.0,0.0,0.0
