,date,new_cases,new_deaths,new_tests,new_vaccinations,hosp_patients,icu_patients,stringency_index,reproduction_rate,total_cases,total_tests,total_vaccinations,people_vaccinated,total_boosters,lag_1,lag_2,lag_3,lag_7,lag_14,rolling_mean_3,rolling_std_3,rolling_mean_7,rolling_std_7,target_t_plus,date_t_plus
24,2022-03-20,131469.26666666666,262.8333333333333,495373.31358819583,183099.2432276995,2908.4652932616495,360.72668991269865,23.808088215567917,0.9117019047619048,3765545.8333333335,39649226.624487534,26093164.989754688,6578176.966666667,4194628.733333333,281.73333333333335,330.4,399.43333333333334,396.06666666666666,532.8666666666667,291.6555555555555,34.85902295649645,383.07142857142856,91.5839109850783,237.73333333333332,25.0
25,2022-03-27,130970.36666666667,237.73333333333332,454914.13358819584,181692.80872477556,2832.5248934653673,347.6329001240559,23.125373929853634,0.8984885714285714,3896516.2,40115920.41496372,26173662.041156463,6649521.3,4260537.3,262.8333333333333,281.73333333333335,330.4,453.56666666666666,484.6333333333333,260.76666666666665,22.072682966359142,352.23809523809524,99.85355838272926,213.7,26.0
26,2022-04-03,110411.1,213.7,433986.3931120054,180855.9237916093,2782.1026030107237,337.76072125250727,21.44751678699649,0.8225814285714286,4006927.3,40554948.74512245,26250707.262981858,6364958.966666667,4133990.6666666665,237.73333333333332,262.8333333333333,281.73333333333335,480.6333333333333,414.56666666666666,238.08888888888887,24.56859633609524,314.10476190476186,93.41021323446351,184.83333333333334,27.0
27,2022-04-10,87998.53333333334,184.83333333333334,382881.490731053,179187.7527222693,2706.578533382873,320.587607006809,19.86394535842506,0.7596114285714286,4094925.8333333335,40928433.62448753,26324314.248894557,6594543.8,4415952.333333333,213.7,237.73333333333332,262.8333333333333,472.9,396.1333333333333,212.08888888888887,26.486775176667408,272.9523809523809,73.0220891418858,163.33333333333334,28.0
28,2022-04-17,71063.7,163.33333333333334,300940.7469215292,166647.05974816738,2627.599453289297,304.99995194478413,19.563897739377442,0.7517914285714286,4165989.533333333,41200543.757503405,26380394.835336354,6576346.933333334,4323653.166666667,184.83333333333334,213.7,237.73333333333332,399.43333333333334,349.2,187.2888888888889,25.272961690167175,239.2238095238095,57.805624852174056,138.8,29.0
29,2022-04-24,58034.03333333333,138.8,266600.46787391015,162917.67963120833,2579.526925816769,295.64484990396784,18.9320405965203,0.7942619047619048,4224023.566666666,41439790.82051928,26433807.5992517,6039131.933333334,4091172.566666667,163.33333333333334,184.83333333333334,213.7,330.4,372.8,162.32222222222222,23.033317253573554,211.85238095238097,52.561740969612465,123.13333333333334,30.0
30,2022-05-01,47066.5,123.13333333333334,251903.0982140462,170709.37451424924,2458.850525256545,280.48340532613673,17.995088215567918,0.8166366666666666,4271090.066666666,41660105.18004309,26491206.23956916,6807847.333333333,4520817.1,138.8,163.33333333333334,184.83333333333334,281.73333333333335,375.7,141.75555555555556,20.262316784650924,189.19523809523807,51.592503864674775,106.03333333333333,31.0
31,2022-05-08,38241.3,106.03333333333333,235715.7510485133,165970.02773062352,2320.1703316406374,261.612657026817,16.709278691758392,0.8231966666666666,4309331.366666666,41843949.07051928,26540957.787452757,6318241.466666667,4411273.333333333,123.13333333333334,138.8,163.33333333333334,262.8333333333333,396.06666666666666,122.65555555555557,16.388557435445005,166.7952380952381,48.22124715567514,93.96666666666667,32.0
32,2022-05-15,36072.86666666667,93.96666666666667,231987.10660406886,161228.9809469978,2195.592440484175,246.8004121288578,16.480659644139347,0.8578395238095239,4345404.233333333,42014127.846074834,26587638.794970863,6547877.966666667,4407860.933333334,106.03333333333333,123.13333333333334,138.8,237.73333333333332,453.56666666666666,107.71111111111111,14.655538707767757,146.25714285714284,43.34133137423261,79.26666666666667,33.0
33,2022-05-22,29353.1,79.26666666666667,239618.92882629108,159484.26933463354,2078.609447286896,234.45211280912991,16.127707263186966,0.8711242857142857,4374757.333333333,42187752.412979595,26634120.936336998,6295728.1,4389023.666666667,93.96666666666667,106.03333333333333,123.13333333333334,213.7,480.6333333333333,93.08888888888889,13.404905127659234,127.05238095238097,37.92152157999249,62.86666666666667,34.0
34,2022-05-29,21995.766666666666,62.86666666666667,214251.69549295775,153149.5499737313,1979.7608078311137,222.90891553021837,15.700802501282203,0.9067614285714286,4396753.1,42329482.02131293,26669321.759954214,6359511.066666666,4074045.6,79.26666666666667,93.96666666666667,106.03333333333333,184.83333333333334,472.9,78.7,15.55774190984656,109.62857142857142,34.84320662079033,61.333333333333336,35.0
35,2022-06-05,24979.633333333335,61.333333333333336,212255.22882629107,157520.61505309635,1896.1351275590048,214.41486791117075,15.580088215567917,0.9640233333333333,4421732.733333333,42462935.873693876,26706461.52095238,6563867.033333333,4466674.8,62.86666666666667,79.26666666666667,93.96666666666667,163.33333333333334,399.43333333333334,67.82222222222221,9.94078765789319,95.05714285714285,29.569796366273792,57.53333333333333,36.0
36,2022-06-12,28782.066666666666,57.53333333333333,206641.29549295775,154641.31544992176,1867.3946513685287,209.5454801560687,15.438135834615537,1.054417142857143,4450514.8,42585467.80226531,26740238.518458486,6281505.9,4484814.5,61.333333333333336,62.86666666666667,79.26666666666667,138.8,330.4,60.57777777777778,2.7457711593141414,83.44761904761904,25.1573997445047,63.5,37.0
37,2022-06-19,36896.63333333333,63.5,222299.1288262911,155523.75433881066,1884.1693112324742,209.73782709484422,15.163564406044108,1.115230476190476,4487411.433333334,42694092.1527415,26775039.666176233,6363280.8,4376357.133333334,57.53333333333333,61.333333333333336,62.86666666666667,123.13333333333334,281.73333333333335,60.78888888888889,3.020362990214036,74.92857142857143,18.7629997263285,70.2,38.0
38,2022-06-26,50912.9,70.2,212593.82882629108,159950.99600547733,1975.6244132732904,215.89156859144285,15.109707263186966,1.167655238095238,4538324.333333333,42725067.526074834,26814024.90902625,6352767.766666667,4499761.466666667,63.5,57.53333333333333,61.333333333333336,106.03333333333333,262.8333333333333,63.74444444444445,6.336870357360027,69.80952380952381,12.804436648429455,83.16666666666667,39.0
39,2022-07-03,65895.2,83.16666666666667,211010.4621596244,166555.74878325508,2160.1244132732904,227.74803117647687,15.003754882234583,1.1528914285714287,4604219.533333333,42725067.526074834,26858839.340500608,6080919.066666666,4427184.466666667,70.2,63.5,57.53333333333333,93.96666666666667,237.73333333333332,72.28888888888889,9.998351716012992,68.26666666666667,9.67733128195922,97.1,40.0
40,2022-07-10,73139.76666666666,97.1,211010.4621596244,173100.01341288473,2280.2750935453996,236.05245294518434,15.016373929853632,1.1004619047619046,4677359.3,42725067.526074834,26910368.12514957,6494213.8,4560061.666666667,83.16666666666667,70.2,63.5,79.26666666666667,213.7,83.4888888888889,13.45289449785562,70.81428571428572,14.299376535786955,126.53333333333333,41.0
41,2022-07-17,66856.5,126.53333333333333,211010.4621596244,168456.80082029212,2410.2366581712495,250.025582196885,14.806850120329822,1.0722404761904762,4744215.8,42725067.526074834,26962292.430433456,6165698.0,4542269.333333333,97.1,83.16666666666667,70.2,62.86666666666667,184.83333333333334,102.26666666666665,22.140184682559514,79.9095238095238,24.796562741831124,139.83333333333334,42.0
42,2022-07-24,57799.333333333336,139.83333333333334,211010.4621596244,168240.94044992176,2493.5385629331545,262.35156859144286,14.398754882234584,1.033742857142857,4802015.133333334,42725067.526074834,27012286.703177653,6176159.966666667,4576048.666666667,126.53333333333333,97.1,83.16666666666667,61.333333333333336,163.33333333333334,121.15555555555557,21.86835189983191,91.12380952380953,31.766554239545883,137.0,43.0
43,2022-07-31,45435.13333333333,137.0,211010.4621596244,170835.262672144,2489.8721683753315,267.28190872749724,14.337040596520298,0.9597209523809523,4847450.266666667,42725067.526074834,27063529.02115995,6176830.1,4657697.466666667,139.83333333333334,126.53333333333333,97.1,57.53333333333333,138.8,134.45555555555555,7.005579786728328,102.47619047619048,31.960529559684876,122.03333333333333,44.0
44,2022-08-07,34859.566666666666,122.03333333333333,211010.4621596244,165585.0737832551,2382.4557057902975,259.2595958023272,13.922135834615537,0.9149661904761904,4882309.833333333,42725067.526074834,27112318.273269232,6160794.133333334,4614796.666666667,137.0,139.83333333333334,126.53333333333333,63.5,123.13333333333334,132.95555555555555,9.564420952060631,110.83809523809524,27.394467058091593,110.3,45.0
45,2022-08-14,28667.033333333333,110.3,211010.4621596244,164534.97100547733,2264.0553656542425,248.04292913566053,13.895707263186965,0.9020771428571429,4910976.866666666,42725067.526074834,27159548.204743586,5946611.133333334,4536143.166666667,122.03333333333333,137.0,139.83333333333334,70.2,106.03333333333333,123.1111111111111,13.382589573911714,116.56666666666668,20.903986860565762,95.9,46.0
46,2022-08-21,24418.933333333334,95.9,211010.4621596244,155121.2821165884,2174.7543452460795,237.23782709484422,13.488088215567917,0.9004161904761905,4935395.8,42725067.526074834,27197202.901297316,6109205.366666666,4899946.066666666,110.3,122.03333333333333,137.0,83.16666666666667,93.96666666666667,109.41111111111111,13.089322762100219,118.38571428571429,17.84305920812911,81.4,47.0
47,2022-08-28,21636.566666666666,81.4,211010.4621596244,158848.65989436622,2063.7237330011817,224.30449376151088,13.219326310806013,0.8974214285714286,4957032.366666666,42725067.526074834,27232324.783089135,6082826.2,4915417.733333333,95.9,110.3,122.03333333333333,97.1,79.26666666666667,95.86666666666667,14.450028835036811,116.14285714285714,21.56346115870308,73.03333333333333,48.0
48,2022-09-04,19299.333333333332,73.03333333333333,211010.4621596244,154618.7821165884,1945.4938010283925,215.42558219688502,13.201707263186965,0.9302371428571429,4976331.7,42725067.526074834,27268130.51488095,6015488.9,4922236.5,81.4,95.9,110.3,126.53333333333333,62.86666666666667,83.44444444444444,11.569612176991313,108.5,26.24078674294902,63.03333333333333,49.0
49,2022-09-11,19627.9,63.03333333333333,211010.4621596244,152768.53767214398,1859.4380187154673,207.01401757103469,13.201707263186965,0.9740738095238096,4995959.6,42725067.526074834,27311737.012545787,6004191.566666666,4881703.6,73.03333333333333,81.4,95.9,139.83333333333334,61.333333333333336,72.4888888888889,9.195429621610064,97.52857142857144,27.000949424813026,60.63333333333333,50.0
