,date,new_cases,new_deaths,new_tests,new_vaccinations,hosp_patients,icu_patients,stringency_index,reproduction_rate,total_cases,total_tests,total_vaccinations,people_vaccinated,total_boosters
12,2021-12-26,66150.9,414.56666666666666,726569.2138963192,572161.3660822614,3238.040229599821,585.9767726730754,43.10994535842506,1.127514285714286,1725439.1666666667,30648310.033614516,22526728.610951148,7941112.833333333,2966648.2
13,2022-01-02,113849.96666666666,396.1333333333333,825762.1350027617,461105.9256576905,3255.2449915045827,573.4005821968851,43.36151678699649,1.3199961904761903,1839289.1333333333,31468747.185519278,22970504.30309893,7825308.8,3254389.1666666665
14,2022-01-09,162121.4,349.2,916453.5703949186,640466.1630108973,3452.360467695059,563.6160583873611,43.85808821556792,1.4262971428571427,2001410.5333333334,32402562.140360545,23592633.36757475,8485774.666666666,3724680.966666667
15,2022-01-16,188343.53333333333,372.8,977584.9438589708,644324.7207344746,3659.408086742678,551.8874869587897,42.97275488223458,1.3573866666666667,2189754.066666667,33408614.176868483,24204731.963875968,8546636.766666668,4125606.5
16,2022-01-23,245521.26666666666,375.7,997600.3310485133,510278.69797024695,3869.227134361726,530.0017726730755,41.7048025012822,1.3165742857142857,2435275.3333333335,34461668.41337642,24675663.719224807,8600216.1,4419849.4
17,2022-01-30,274045.73333333334,396.06666666666666,932244.7178739102,412101.5821165884,4191.203324837917,512.9970107683135,41.31956440604411,1.216778095238095,2709321.066666667,35457791.730836734,25042606.204761907,8598189.933333334,4735270.033333333
18,2022-02-06,243151.96666666667,453.56666666666666,818362.8513226836,333862.82494487124,4493.327134361725,513.4922488635517,39.39589773937744,1.0917333333333334,2952473.033333333,36341385.72250341,25313631.525714286,8544186.633333333,4744233.2
19,2022-02-13,190587.86666666667,480.6333333333333,641242.0742928615,291763.77262163896,4528.841420076012,508.8112964825993,37.973231072710774,0.9517333333333333,3143060.9,37067094.93242404,25533004.219047617,8460945.133333333,4896533.133333334
20,2022-02-20,142818.46666666667,472.9,613842.0075299948,251612.667672144,4254.455176689768,484.9224075937104,34.94270726318697,0.8310309523809524,3285879.3666666667,37672708.41496372,25700708.764285717,7424884.8,5091676.633333334
21,2022-02-27,113436.33333333333,399.43333333333334,511814.71215962444,220672.81989436623,3799.888269522861,449.18092130222414,31.359850120329824,0.7886799999999999,3399315.7,38183421.203852616,25821781.242857143,8401856.633333333,5026570.933333334
22,2022-03-06,110220.43333333333,330.4,471223.3454929578,192509.63656103288,3318.7150131496046,410.14657786788064,29.228231072710777,0.8212338095238095,3509536.1333333333,38661964.494328804,25914825.306349207,6315175.933333334,3998629.5
23,2022-03-13,124540.43333333333,281.73333333333335,458997.4532480598,186996.15433881065,3027.90981834441,379.2195215908244,26.69942154890125,0.8795980952380952,3634076.566666667,39146782.870360546,26004779.050180376,6337945.766666667,4149310.566666667
24,2022-03-20,131469.26666666666,262.8333333333333,495373.31358819583,183099.2432276995,2908.4652932616495,360.72668991269865,23.808088215567917,0.9117019047619048,3765545.8333333335,39649226.624487534,26093164.989754688,6578176.966666667,4194628.733333333
25,2022-03-27,130970.36666666667,237.73333333333332,454914.13358819584,181692.80872477556,2832.5248934653673,347.6329001240559,23.125373929853634,0.8984885714285714,3896516.2,40115920.41496372,26173662.041156463,6649521.3,4260537.3
26,2022-04-03,110411.1,213.7,433986.3931120054,180855.9237916093,2782.1026030107237,337.76072125250727,21.44751678699649,0.8225814285714286,4006927.3,40554948.74512245,26250707.262981858,6364958.966666667,4133990.6666666665
27,2022-04-10,87998.53333333334,184.83333333333334,382881.490731053,179187.7527222693,2706.578533382873,320.587607006809,19.86394535842506,0.7596114285714286,4094925.8333333335,40928433.62448753,26324314.248894557,6594543.8,4415952.333333333
28,2022-04-17,71063.7,163.33333333333334,300940.7469215292,166647.05974816738,2627.599453289297,304.99995194478413,19.563897739377442,0.7517914285714286,4165989.533333333,41200543.757503405,26380394.835336354,6576346.933333334,4323653.166666667
29,2022-04-24,58034.03333333333,138.8,266600.46787391015,162917.67963120833,2579.526925816769,295.64484990396784,18.9320405965203,0.7942619047619048,4224023.566666666,41439790.82051928,26433807.5992517,6039131.933333334,4091172.566666667
30,2022-05-01,47066.5,123.13333333333334,251903.0982140462,170709.37451424924,2458.850525256545,280.48340532613673,17.995088215567918,0.8166366666666666,4271090.066666666,41660105.18004309,26491206.23956916,6807847.333333333,4520817.1
31,2022-05-08,38241.3,106.03333333333333,235715.7510485133,165970.02773062352,2320.1703316406374,261.612657026817,16.709278691758392,0.8231966666666666,4309331.366666666,41843949.07051928,26540957.787452757,6318241.466666667,4411273.333333333
32,2022-05-15,36072.86666666667,93.96666666666667,231987.10660406886,161228.9809469978,2195.592440484175,246.8004121288578,16.480659644139347,0.8578395238095239,4345404.233333333,42014127.846074834,26587638.794970863,6547877.966666667,4407860.933333334
33,2022-05-22,29353.1,79.26666666666667,239618.92882629108,159484.26933463354,2078.609447286896,234.45211280912991,16.127707263186966,0.8711242857142857,4374757.333333333,42187752.412979595,26634120.936336998,6295728.1,4389023.666666667
34,2022-05-29,21995.766666666666,62.86666666666667,214251.69549295775,153149.5499737313,1979.7608078311137,222.90891553021837,15.700802501282203,0.9067614285714286,4396753.1,42329482.02131293,26669321.759954214,6359511.066666666,4074045.6
35,2022-06-05,24979.633333333335,61.333333333333336,212255.22882629107,157520.61505309635,1896.1351275590048,214.41486791117075,15.580088215567917,0.9640233333333333,4421732.733333333,42462935.873693876,26706461.52095238,6563867.033333333,4466674.8
36,2022-06-12,28782.066666666666,57.53333333333333,206641.29549295775,154641.31544992176,1867.3946513685287,209.5454801560687,15.438135834615537,1.054417142857143,4450514.8,42585467.80226531,26740238.518458486,6281505.9,4484814.5
37,2022-06-19,36896.63333333333,63.5,222299.1288262911,155523.75433881066,1884.1693112324742,209.73782709484422,15.163564406044108,1.115230476190476,4487411.433333334,42694092.1527415,26775039.666176233,6363280.8,4376357.133333334
38,2022-06-26,50912.9,70.2,212593.82882629108,159950.99600547733,1975.6244132732904,215.89156859144285,15.109707263186966,1.167655238095238,4538324.333333333,42725067.526074834,26814024.90902625,6352767.766666667,4499761.466666667
39,2022-07-03,65895.2,83.16666666666667,211010.4621596244,166555.74878325508,2160.1244132732904,227.74803117647687,15.003754882234583,1.1528914285714287,4604219.533333333,42725067.526074834,26858839.340500608,6080919.066666666,4427184.466666667
40,2022-07-10,73139.76666666666,97.1,211010.4621596244,173100.01341288473,2280.2750935453996,236.05245294518434,15.016373929853632,1.1004619047619046,4677359.3,42725067.526074834,26910368.12514957,6494213.8,4560061.666666667
41,2022-07-17,66856.5,126.53333333333333,211010.4621596244,168456.80082029212,2410.2366581712495,250.025582196885,14.806850120329822,1.0722404761904762,4744215.8,42725067.526074834,26962292.430433456,6165698.0,4542269.333333333
42,2022-07-24,57799.333333333336,139.83333333333334,211010.4621596244,168240.94044992176,2493.5385629331545,262.35156859144286,14.398754882234584,1.033742857142857,4802015.133333334,42725067.526074834,27012286.703177653,6176159.966666667,4576048.666666667
43,2022-07-31,45435.13333333333,137.0,211010.4621596244,170835.262672144,2489.8721683753315,267.28190872749724,14.337040596520298,0.9597209523809523,4847450.266666667,42725067.526074834,27063529.02115995,6176830.1,4657697.466666667
44,2022-08-07,34859.566666666666,122.03333333333333,211010.4621596244,165585.0737832551,2382.4557057902975,259.2595958023272,13.922135834615537,0.9149661904761904,4882309.833333333,42725067.526074834,27112318.273269232,6160794.133333334,4614796.666666667
45,2022-08-14,28667.033333333333,110.3,211010.4621596244,164534.97100547733,2264.0553656542425,248.04292913566053,13.895707263186965,0.9020771428571429,4910976.866666666,42725067.526074834,27159548.204743586,5946611.133333334,4536143.166666667
46,2022-08-21,24418.933333333334,95.9,211010.4621596244,155121.2821165884,2174.7543452460795,237.23782709484422,13.488088215567917,0.9004161904761905,4935395.8,42725067.526074834,27197202.901297316,6109205.366666666,4899946.066666666
47,2022-08-28,21636.566666666666,81.4,211010.4621596244,158848.65989436622,2063.7237330011817,224.30449376151088,13.219326310806013,0.8974214285714286,4957032.366666666,42725067.526074834,27232324.783089135,6082826.2,4915417.733333333
48,2022-09-04,19299.333333333332,73.03333333333333,211010.4621596244,154618.7821165884,1945.4938010283925,215.42558219688502,13.201707263186965,0.9302371428571429,4976331.7,42725067.526074834,27268130.51488095,6015488.9,4922236.5
49,2022-09-11,19627.9,63.03333333333333,211010.4621596244,152768.53767214398,1859.4380187154673,207.01401757103469,13.201707263186965,0.9740738095238096,4995959.6,42725067.526074834,27311737.012545787,6004191.566666666,4881703.6
50,2022-09-18,24222.366666666665,60.63333333333333,211010.4621596244,172031.6265610329,1842.2135289195492,202.8344257343,13.158373929853632,1.0368071428571428,5020181.966666667,42725067.526074834,27379422.61973443,6256351.3,5152581.766666667
51,2022-09-25,28461.166666666668,66.13333333333334,211010.4621596244,181852.77100547732,1853.896862252882,201.9987114485857,12.957373929853633,1.0278219047619048,5048643.133333334,42725067.526074834,27464831.93882784,5881808.733333333,5034446.166666667
52,2022-10-02,38927.9,85.16666666666667,211010.4621596244,185431.5265610329,1949.661828239277,212.13646655062652,12.904421548901249,1.0310661904761904,5087571.033333333,42725067.526074834,27562549.99522283,6017611.3,5018888.866666666
53,2022-10-09,46020.3,108.5,211010.4621596244,183156.14878325508,2094.58359694676,231.33986791117073,12.772040596520299,0.9783576190476191,5133591.333333333,42725067.526074834,27669243.399236873,5948052.0,5069669.8
54,2022-10-16,46766.6,121.86666666666666,211010.4621596244,191310.64878325508,2213.05978742295,249.1514325370211,12.772040596520299,0.9050019047619048,5180357.933333334,42725067.526074834,27811844.272298533,6156571.133333334,5344762.733333333
55,2022-10-23,39799.166666666664,124.3,211010.4621596244,189973.25989436623,2263.652984701862,257.02014002001425,12.600326310806013,0.8532133333333333,5220157.1,42725067.526074834,27967203.174725275,6007301.133333334,5193675.7
56,2022-10-30,27867.833333333332,107.46666666666667,211010.4621596244,186752.14322769956,2213.255025518188,252.24190872749725,12.494707263186964,0.8558528571428571,5248024.933333334,42725067.526074834,28095448.38191392,5805829.066666666,5225656.7
57,2022-11-06,19949.933333333334,82.53333333333333,211010.4621596244,168753.61544992175,2135.269311232474,243.2738815166129,12.494707263186964,0.8392433333333333,5267974.866666666,42725067.526074834,28197752.98354701,5943200.833333333,5240250.333333333
58,2022-11-13,17845.633333333335,79.5,211010.4621596244,172688.74322769957,2065.8720323209095,230.6970107683136,12.494707263186964,0.8720790476190476,5285820.5,42725067.526074834,28297052.25502137,6195472.0,5411767.566666666
59,2022-11-20,19103.233333333334,76.63333333333334,211010.4621596244,168948.0321165884,2056.169991504583,222.77796314926596,12.309469167948869,0.9147547619047619,5304923.733333333,42725067.526074834,28378631.669749696,6009396.4,5472381.8
60,2022-11-27,21174.3,75.4,211010.4621596244,163577.43767214398,2067.489039123631,220.86843933974217,11.80694535842506,0.9518847619047618,5326098.033333333,42725067.526074834,28447896.57177961,5319092.733333333,4860122.666666667
61,2022-12-04,25069.766666666666,82.06666666666666,211010.4621596244,161955.98211658842,2129.3818962664877,224.22082029212314,11.62189773937744,0.9785042857142857,5351167.8,42725067.526074834,28510336.36095238,6411822.733333333,5837130.233333333
62,2022-12-11,27342.866666666665,95.63333333333334,211010.4621596244,165405.27100547732,2240.8699915045827,230.56367743498024,11.410469167948868,0.96181,5378510.666666667,42725067.526074834,28566980.471428573,6080704.766666667,5415687.5
63,2022-12-18,26935.666666666668,114.06666666666666,211010.4621596244,166560.0487832551,2371.365229599821,241.80177267307548,11.384040596520297,0.9037190476190475,5405446.333333333,42725067.526074834,28620540.74047619,5945847.033333333,5414828.233333333
64,2022-12-25,23684.233333333334,128.03333333333333,211010.4621596244,152821.2887832551,2434.0188010283923,251.48034410164692,11.384040596520297,0.8271652380952381,5429130.566666666,42725067.526074834,28650043.735714283,5809227.5,5326042.266666667
